Notaría,"Tipo Búsqueda",Plataforma,"Total Búsquedas","Búsquedas Web","Búsquedas Escritorio","Primera Búsqueda","Última Búsqueda"
79oaxaca,"Lista Negra","SOLO WEB",3898,3898,0,"2024-07-02 11:50:09","2026-03-14 11:42:08"
180Puruandiro,"Lista Negra","SOLO WEB",1696,1696,0,"2024-07-11 15:09:13","2026-03-16 13:55:59"
37Oaxaca,"Lista Negra","SOLO WEB",1367,1367,0,"2024-12-02 11:01:00","2026-03-16 18:36:34"
1nacajuca,"Lista Negra","SOLO WEB",1182,1182,0,"2024-08-23 13:46:50","2026-03-05 12:52:06"
101Oaxaca,"Lista Negra","SOLO WEB",962,962,0,"2024-12-26 11:56:03","2026-03-12 12:36:32"
101Guadalajara,"Lista Negra","SOLO WEB",946,946,0,"2024-07-11 16:38:07","2026-03-17 14:51:25"
41Tampico,"Lista Negra","SOLO WEB",550,550,0,"2024-07-10 16:35:30","2026-03-10 14:36:42"
3huimanguillo,"Lista Negra","SOLO WEB",416,416,0,"2025-08-14 16:21:58","2026-03-10 18:10:30"
108teotitlan,"Lista Negra","SOLO WEB",273,273,0,"2024-09-25 09:24:19","2026-02-16 19:54:00"
113huatulco,"Lista Negra","SOLO WEB",238,238,0,"2025-04-16 10:26:15","2026-03-17 15:10:02"
177ixtlahuaca,"Lista Negra","SOLO WEB",145,145,0,"2025-01-21 17:37:18","2026-03-10 14:48:21"
156tuxtla,"Lista Negra","SOLO WEB",131,131,0,"2025-03-20 10:29:39","2026-02-06 09:40:09"
65riobravo,"Lista Negra","SOLO WEB",121,121,0,"2024-10-07 12:44:50","2026-02-25 15:27:59"
84arteaga,"Lista Negra","SOLO WEB",85,85,0,"2025-09-23 13:41:14","2026-03-16 12:17:18"
atinet,"Lista Negra","SOLO WEB",57,57,0,"2024-05-23 11:28:44","2026-03-17 14:08:57"
15piedrasnegras,"Lista Negra","SOLO WEB",40,40,0,"2024-12-16 17:31:52","2026-03-05 16:46:44"
4Ixmiquilpan,"Lista Negra","SOLO WEB",33,33,0,"2026-02-23 13:29:42","2026-03-09 16:51:02"
1Tampico,"Lista Negra","SOLO WEB",9,9,0,"2024-06-18 12:22:11","2024-11-22 10:51:44"
7cordoba,"Lista Negra","SOLO WEB",2,2,0,"2024-06-12 11:11:36","2024-06-12 11:12:11"
14villahermosa,"Lista Negra","SOLO WEB",1,1,0,"2024-11-20 12:11:23","2024-11-20 12:11:23"
13Villahermosa,"Lista Negra","SOLO WEB",1,1,0,"2025-01-21 10:31:58","2025-01-21 10:31:58"
99maravatio,"Lista Negra","SOLO ESCRITORIO",3271,3271,0,"2024-06-27 11:36:39","2025-09-03 11:49:45"
36Villahermosa,"Lista Negra","SOLO ESCRITORIO",1296,1296,0,"2024-07-18 16:05:28","2026-03-11 16:55:11"
126Tuxtla,"Lista Negra","SOLO ESCRITORIO",1253,1253,0,"2025-02-25 18:09:04","2026-03-16 12:41:33"
37Puebla,"Lista Negra","SOLO ESCRITORIO",1075,1075,0,"2025-07-22 12:25:31","2026-03-17 12:39:15"
2zihuatanejo,"Lista Negra","SOLO ESCRITORIO",580,580,0,"2024-09-11 15:58:18","2026-03-09 15:40:03"
30Aguascalientes,"Lista Negra",MIXTA,1492,5,1487,"2024-06-19 14:00:20","2026-03-17 12:38:13"
