Notaría,"Tipo Búsqueda",Plataforma,"Total Búsquedas","Primera Búsqueda","Última Búsqueda"
79oaxaca,"Lista SAT",WEB,2488,"2024-06-27 13:48:23","2026-03-13 12:32:35"
37Oaxaca,"Lista SAT",WEB,1362,"2024-12-02 18:30:40","2026-03-16 18:36:43"
101Guadalajara,"Lista SAT",WEB,861,"2024-07-11 16:38:52","2026-03-17 14:51:31"
180Puruandiro,"Lista SAT",WEB,817,"2024-07-11 15:09:18","2026-03-14 15:12:56"
101Oaxaca,"Lista SAT",WEB,792,"2024-12-23 12:58:04","2026-03-12 12:36:30"
1nacajuca,"Lista SAT",WEB,521,"2024-08-23 14:21:24","2026-03-05 12:52:20"
41Tampico,"Lista SAT",WEB,500,"2024-07-31 13:33:01","2026-03-10 14:53:46"
3huimanguillo,"Lista SAT",WEB,409,"2025-08-14 16:21:54","2026-03-10 18:10:33"
108teotitlan,"Lista SAT",WEB,265,"2024-09-25 09:24:23","2026-02-16 19:54:26"
113huatulco,"Lista SAT",WEB,228,"2025-04-16 10:27:36","2026-03-17 15:10:03"
177ixtlahuaca,"Lista SAT",WEB,145,"2025-01-23 12:20:27","2026-03-10 14:48:23"
65riobravo,"Lista SAT",WEB,117,"2024-10-07 12:47:32","2026-02-25 15:28:26"
84arteaga,"Lista SAT",WEB,81,"2025-09-22 17:50:50","2026-03-16 12:17:20"
156tuxtla,"Lista SAT",WEB,67,"2025-03-20 10:30:36","2026-02-06 09:40:19"
15piedrasnegras,"Lista SAT",WEB,30,"2025-02-07 20:50:07","2026-03-05 16:46:47"
atinet,"Lista SAT",WEB,27,"2024-05-23 11:41:27","2026-02-19 17:11:34"
4Ixmiquilpan,"Lista SAT",WEB,10,"2026-02-25 17:11:12","2026-03-09 16:51:10"
1Tampico,"Lista SAT",WEB,9,"2024-06-06 21:33:06","2024-11-22 10:51:54"
7cordoba,"Lista SAT",WEB,3,"2024-06-06 19:58:04","2024-06-12 11:12:32"
13Villahermosa,"Lista SAT",WEB,2,"2025-01-21 10:32:02","2025-01-21 10:32:27"
14villahermosa,"Lista SAT",WEB,1,"2024-11-20 12:11:40","2024-11-20 12:11:40"
99maravatio,"Lista SAT",WEB,1,"2024-06-26 15:50:12","2024-06-26 15:50:12"
