Notaría,"Tipo Búsqueda",Origen,Total
101Guadalajara,"Lista Negra",WEB,946
101Guadalajara,"Lista SAT",WEB,861
101Oaxaca,"Lista Negra",WEB,962
101Oaxaca,"Lista SAT",WEB,792
126Tuxtla,"Lista Negra",ESCRITORIO,1253
180Puruandiro,"Lista Negra",WEB,1696
180Puruandiro,"Lista SAT",WEB,817
1nacajuca,"Lista Negra",WEB,1182
1nacajuca,"Lista SAT",WEB,521
30Aguascalientes,"Lista Negra",ESCRITORIO,1487
30Aguascalientes,"Lista Negra",WEB,5
36Villahermosa,"Lista Negra",ESCRITORIO,1296
37Oaxaca,"Lista Negra",WEB,1367
37Oaxaca,"Lista SAT",WEB,1362
79oaxaca,"Lista Negra",WEB,3898
79oaxaca,"Lista SAT",WEB,2488
99maravatio,"Lista Negra",ESCRITORIO,3271
99maravatio,"Lista SAT",WEB,1
